mode,camera_id,stream_type,topic,message_index,width,height,is_dense,point_step,row_step,field_names,stride,original_point_count,sampled_point_count,finite_point_count,written_point_count,skipped_nonfinite_count,color_source,saved_ply_path,metadata_path,frame_id
rgbd_pointcloud,cam_corner_ne,pointcloud,/perception/native/rgbd/cam_corner_ne/depth/points,0,640,480,False,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19190,19190,10,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_ne/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_ne/metadata/pointcloud_000000.json,perception_native_camera_rig_panoptic::cam_corner_ne::cam_corner_ne_depth
rgbd_pointcloud,cam_corner_ne,pointcloud,/perception/native/rgbd/cam_corner_ne/depth/points,1,640,480,False,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19190,19190,10,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_ne/ply/000001.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_ne/metadata/pointcloud_000001.json,perception_native_camera_rig_panoptic::cam_corner_ne::cam_corner_ne_depth
rgbd_pointcloud,cam_corner_ne,pointcloud,/perception/native/rgbd/cam_corner_ne/depth/points,2,640,480,False,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19190,19190,10,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_ne/ply/000002.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_ne/metadata/pointcloud_000002.json,perception_native_camera_rig_panoptic::cam_corner_ne::cam_corner_ne_depth
rgbd_pointcloud,cam_corner_nw,pointcloud,/perception/native/rgbd/cam_corner_nw/depth/points,0,640,480,False,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19191,19191,9,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_nw/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_nw/metadata/pointcloud_000000.json,perception_native_camera_rig_panoptic::cam_corner_nw::cam_corner_nw_depth
rgbd_pointcloud,cam_corner_nw,pointcloud,/perception/native/rgbd/cam_corner_nw/depth/points,1,640,480,False,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19191,19191,9,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_nw/ply/000001.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_nw/metadata/pointcloud_000001.json,perception_native_camera_rig_panoptic::cam_corner_nw::cam_corner_nw_depth
rgbd_pointcloud,cam_corner_nw,pointcloud,/perception/native/rgbd/cam_corner_nw/depth/points,2,640,480,False,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19191,19191,9,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_nw/ply/000002.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_nw/metadata/pointcloud_000002.json,perception_native_camera_rig_panoptic::cam_corner_nw::cam_corner_nw_depth
rgbd_pointcloud,cam_corner_se,pointcloud,/perception/native/rgbd/cam_corner_se/depth/points,0,640,480,True,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19200,19200,0,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_se/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_se/metadata/pointcloud_000000.json,perception_native_camera_rig_panoptic::cam_corner_se::cam_corner_se_depth
rgbd_pointcloud,cam_corner_se,pointcloud,/perception/native/rgbd/cam_corner_se/depth/points,1,640,480,True,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19200,19200,0,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_se/ply/000001.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_se/metadata/pointcloud_000001.json,perception_native_camera_rig_panoptic::cam_corner_se::cam_corner_se_depth
rgbd_pointcloud,cam_corner_se,pointcloud,/perception/native/rgbd/cam_corner_se/depth/points,2,640,480,True,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19200,19200,0,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_se/ply/000002.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_se/metadata/pointcloud_000002.json,perception_native_camera_rig_panoptic::cam_corner_se::cam_corner_se_depth
rgbd_pointcloud,cam_corner_sw,pointcloud,/perception/native/rgbd/cam_corner_sw/depth/points,0,640,480,True,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19200,19200,0,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_sw/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_sw/metadata/pointcloud_000000.json,perception_native_camera_rig_panoptic::cam_corner_sw::cam_corner_sw_depth
rgbd_pointcloud,cam_corner_sw,pointcloud,/perception/native/rgbd/cam_corner_sw/depth/points,1,640,480,True,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19200,19200,0,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_sw/ply/000001.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_sw/metadata/pointcloud_000001.json,perception_native_camera_rig_panoptic::cam_corner_sw::cam_corner_sw_depth
rgbd_pointcloud,cam_corner_sw,pointcloud,/perception/native/rgbd/cam_corner_sw/depth/points,2,640,480,True,16,10240,"[""x"",""y"",""z"",""rgb""]",4,307200,19200,19200,19200,0,packed_rgb_float32,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_sw/ply/000002.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd_pointclouds/cam_corner_sw/metadata/pointcloud_000002.json,perception_native_camera_rig_panoptic::cam_corner_sw::cam_corner_sw_depth
