camera_id,pair_index,rgb_topic,pcl_topic,rgb_header_stamp,pcl_header_stamp,time_delta_ms,rgb_path,pcl_path,width,height,point_count,color_source,raw_pcl_color_source,metadata_path
cam_corner_ne,0,/perception/native/rgbd/cam_corner_ne/rgb,/perception/native/rgbd/cam_corner_ne/depth/points,9.620000000,9.620000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/rgb/000000.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/ply/000000.ply,640,480,19190,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/metadata/sync_000000.json
cam_corner_ne,1,/perception/native/rgbd/cam_corner_ne/rgb,/perception/native/rgbd/cam_corner_ne/depth/points,9.636000000,9.636000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/rgb/000001.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/ply/000001.ply,640,480,19190,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/metadata/sync_000001.json
cam_corner_ne,2,/perception/native/rgbd/cam_corner_ne/rgb,/perception/native/rgbd/cam_corner_ne/depth/points,9.672000000,9.672000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/rgb/000002.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/ply/000002.ply,640,480,19190,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_ne/metadata/sync_000002.json
cam_corner_nw,0,/perception/native/rgbd/cam_corner_nw/rgb,/perception/native/rgbd/cam_corner_nw/depth/points,9.620000000,9.620000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/rgb/000000.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/ply/000000.ply,640,480,19191,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/metadata/sync_000000.json
cam_corner_nw,1,/perception/native/rgbd/cam_corner_nw/rgb,/perception/native/rgbd/cam_corner_nw/depth/points,9.636000000,9.636000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/rgb/000001.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/ply/000001.ply,640,480,19191,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/metadata/sync_000001.json
cam_corner_nw,2,/perception/native/rgbd/cam_corner_nw/rgb,/perception/native/rgbd/cam_corner_nw/depth/points,9.672000000,9.672000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/rgb/000002.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/ply/000002.ply,640,480,19191,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_nw/metadata/sync_000002.json
cam_corner_se,0,/perception/native/rgbd/cam_corner_se/rgb,/perception/native/rgbd/cam_corner_se/depth/points,9.620000000,9.620000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/rgb/000000.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/ply/000000.ply,640,480,19200,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/metadata/sync_000000.json
cam_corner_se,1,/perception/native/rgbd/cam_corner_se/rgb,/perception/native/rgbd/cam_corner_se/depth/points,9.636000000,9.636000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/rgb/000001.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/ply/000001.ply,640,480,19200,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/metadata/sync_000001.json
cam_corner_se,2,/perception/native/rgbd/cam_corner_se/rgb,/perception/native/rgbd/cam_corner_se/depth/points,9.672000000,9.672000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/rgb/000002.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/ply/000002.ply,640,480,19200,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_se/metadata/sync_000002.json
cam_corner_sw,0,/perception/native/rgbd/cam_corner_sw/rgb,/perception/native/rgbd/cam_corner_sw/depth/points,9.620000000,9.620000000,0.0,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_sw/rgb/000000.ppm,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_sw/ply/000000.ply,640,480,19200,synchronized_rgb_image,packed_rgb_float32,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_rgb_pcl/cam_corner_sw/metadata/sync_000000.json
