target,rx_filter,feature_set,num_rows,positive_ratio,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",majority_baseline,398,0.11055276381909548,majority,0.8893589743589743,0.02708088670484366,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry,398,0.11055276381909548,logistic,0.5228205128205128,0.024769980611891448,0.605499367072257,0.041666900015991895,0.14965941319032638,0.03982183177806556,0.7104545454545453,0.08464314981094075,0.24463781067982754,0.05722737612043688
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry,398,0.11055276381909548,rf,0.8541025641025641,0.018562535349627776,0.6620185615748275,0.05767492788659259,0.3712121212121212,0.07902063521457758,0.41136363636363643,0.13970157094900484,0.36255793226381455,0.05984194035808271
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry,398,0.11055276381909548,svm,0.5024358974358974,0.05088653567966654,0.5944522351760203,0.02861124600052022,0.14578260869565215,0.041250216245065315,0.7104545454545453,0.08464314981094075,0.2386455309396486,0.05908924038067599
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_material,398,0.11055276381909548,logistic,0.5152564102564103,0.024611210917528794,0.6088132697084103,0.04775708408066404,0.15011318516990668,0.04186210845948192,0.7286363636363637,0.09538525623720902,0.24663355908401097,0.06151679494740489
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_material,398,0.11055276381909548,rf,0.8565384615384615,0.02627235593528932,0.663309878101438,0.0612387366869635,0.3791142191142191,0.08216968041697867,0.41136363636363643,0.13970157094900484,0.36872488125685055,0.06874409247660421
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_material,398,0.11055276381909548,svm,0.53,0.020310096011589895,0.6092561567446477,0.03932152778925322,0.15055555555555555,0.03576328208762462,0.7104545454545453,0.08464314981094075,0.2461491384432561,0.050423222110293334
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_semantic,398,0.11055276381909548,logistic,0.5152564102564103,0.024611210917528794,0.6088132697084103,0.04775708408066404,0.15011318516990668,0.04186210845948192,0.7286363636363637,0.09538525623720902,0.24663355908401097,0.06151679494740489
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_semantic,398,0.11055276381909548,rf,0.8616666666666667,0.021953233120532486,0.6670228905791564,0.07720022014128636,0.36783216783216777,0.047689368214617896,0.4131818181818182,0.17623472326970757,0.3670685665570576,0.11895018315996664
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_semantic,398,0.11055276381909548,svm,0.5274358974358975,0.024344293821819997,0.6077855685093536,0.03872824713748019,0.14978260869565216,0.03520396953042985,0.7104545454545453,0.08464314981094075,0.2451101774042951,0.04953596062165737
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_full_object_aware,398,0.11055276381909548,logistic,0.6232051282051282,0.033326305965355914,0.5671927827784605,0.04785311623082055,0.14750700280112045,0.04202963389635876,0.4959090909090909,0.07430671304334342,0.2252793106194903,0.05807107582497347
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_full_object_aware,398,0.11055276381909548,rf,0.8917948717948718,0.027736195042766115,0.6583161095795367,0.05099868086305035,0.5355555555555556,0.11164317055182638,0.3563636363636363,0.10778000243839223,0.41063909774436097,0.09268359173463803
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_full_object_aware,398,0.11055276381909548,svm,0.7185256410256411,0.05425228402709396,0.5849638991301396,0.06054429869169312,0.1826324786324786,0.07443250907688427,0.4113636363636363,0.13970157094900482,0.24005602240896362,0.09183506603740522
