frame_id,source_sample_index,rx_id,label,baseline_value,actor_value,baseline_num_paths,actor_num_paths,baseline_delay_spread,actor_delay_spread,baseline_rx_power_dbm,actor_rx_power_dbm,baseline_delta_num_paths,actor_delta_num_paths,baseline_delta_delay_spread,actor_delta_delay_spread,baseline_delta_rx_power_db,actor_delta_rx_power_db
115,29553,rx_nao_chest,y_delay_spread_increase,0,1,24,24,5.130942337672195e-08,5.130942337672195e-08,-41.397069387141954,-41.397070238498515,0,8,0.0,1.0620804680172569e-08,8.513565603607276e-07,14.754427936173542
117,30067,rx_cerberus_base,y_delay_spread_increase,0,1,18,18,4.148822796423701e-08,4.148822796423701e-08,-44.411208955631295,-44.411208955631295,0,1,0.0,2.451471914355352e-09,0.0,0.004952727115451694
144,37006,rx_panda_base,y_delay_spread_increase,0,1,19,18,5.749156439804892e-08,5.749156439804892e-08,-35.46664261040574,-35.469957334466585,0,0,0.0,3.8696335025179e-09,0.0,-0.003250836060288975
59,15162,rx_cerberus_base,y_delay_spread_increase,0,1,18,18,4.148822796423701e-08,4.148822796423701e-08,-44.41120938168608,-44.41120938168608,0,3,0.0,6.684512499077755e-09,-4.2605478256518836e-07,0.007361218977777639
