label,baseline_positives,actor_positives,baseline_positive_ratio,actor_positive_ratio,delta_positives,rows_changed,rows_changed_ratio,actor_new_positive,actor_lost_positive,unchanged_positive,unchanged_negative
y_path_change,213,314,0.17839195979899497,0.2629815745393635,101,107,0.08961474036850921,104,3,210,877
y_path_drop,102,150,0.08542713567839195,0.12562814070351758,48,52,0.04355108877721943,50,2,100,1042
y_rx_power_drop_0p5db,25,27,0.020938023450586266,0.022613065326633167,2,2,0.0016750418760469012,2,0,25,1167
y_rx_power_drop_1db,23,25,0.019262981574539362,0.020938023450586266,2,2,0.0016750418760469012,2,0,23,1169
y_rx_power_drop_2db,15,17,0.01256281407035176,0.01423785594639866,2,2,0.0016750418760469012,2,0,15,1177
y_delay_spread_increase,25,29,0.020938023450586266,0.024288107202680067,4,4,0.0033500837520938024,4,0,25,1165
y_adaptation_trigger_1db,46,52,0.038525963149078725,0.04355108877721943,6,6,0.005025125628140704,6,0,46,1142
y_adaptation_trigger_2db,38,44,0.031825795644891124,0.03685092127303183,6,6,0.005025125628140704,6,0,38,1150
