metric,count,mean_baseline,mean_actor,mean_actor_minus_baseline,median_actor_minus_baseline,min_actor_minus_baseline,max_actor_minus_baseline
num_paths,1194,22.609715242881073,22.393634840871023,-0.21608040201005024,0.0,-8.0,1.0
prev_num_paths,1194,22.606365159128977,22.38609715242881,-0.2202680067001675,0.0,-8.0,1.0
delta_num_paths,1194,0.0033500837520938024,0.007537688442211055,0.0041876046901172526,0.0,-4.0,8.0
delay_spread,1194,5.299308707169098e-08,5.295095215897223e-08,-4.213491271874547e-11,0.0,-1.0620804680172569e-08,1.7763568394002505e-15
prev_delay_spread,1194,5.299052105059353e-08,5.2948386137874785e-08,-4.213491271874547e-11,0.0,-1.0620804680172569e-08,1.7763568394002505e-15
delta_delay_spread,1194,2.5660210974479586e-12,2.5660210974479586e-12,0.0,0.0,-1.0620804680172569e-08,1.0620804680172569e-08
rx_power_dbm,1194,-40.5278914634209,-40.56068170583965,-0.032790242418754,0.0,-14.754427936173542,0.3436989914511912
prev_rx_power_dbm,1194,-40.53702840987497,-40.56983266613638,-0.03280425626140167,0.0,-14.754427936173542,0.3436989914511912
delta_rx_power_db,1194,0.009136946454072875,0.009150960296720538,1.4013842647662933e-05,0.0,-14.736186825243422,14.754427084816982
