target,rx_filter,feature_set,num_rows,positive_ratio,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",majority_baseline,597,0.3082077051926298,majority,0.6914102564102564,0.0475494137246941,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry,597,0.3082077051926298,logistic,0.49606837606837606,0.03956503406443784,0.5681140198491503,0.025907809317175137,0.35300308341447584,0.06489000659511127,0.7571614934772829,0.03225454437150843,0.47917802647953656,0.06580777069700207
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry,597,0.3082077051926298,rf,0.6902136752136753,0.03013332683628733,0.6358311390486723,0.04679240382873028,0.4986441336441336,0.10849789287695472,0.4892571974808817,0.07989263922888275,0.48880456414954077,0.07764835112601177
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry,597,0.3082077051926298,svm,0.49260683760683766,0.03325807853967319,0.5629056865158171,0.02521219159834987,0.34950704225352114,0.05636513432422053,0.7411892712550607,0.049435757116245746,0.47160439192945114,0.0521837598008331
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry_material,597,0.3082077051926298,logistic,0.4977350427350428,0.03881076025283861,0.5712390198491504,0.025984408008610037,0.3547435897435897,0.06365174809980022,0.7634114934772829,0.03327291637574875,0.48197725427876437,0.0640336025575708
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry_material,597,0.3082077051926298,rf,0.6834615384615385,0.031215776789606995,0.6286668128599558,0.0457007911630524,0.48709586466165417,0.10340505413546604,0.48259053081421505,0.07435378487288812,0.4805733432613552,0.07730521126273873
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry_material,597,0.3082077051926298,svm,0.4977350427350428,0.03881076025283861,0.5712390198491504,0.025984408008610037,0.3547435897435897,0.06365174809980022,0.7634114934772829,0.03327291637574875,0.48197725427876437,0.0640336025575708
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry_semantic,597,0.3082077051926298,logistic,0.4977350427350428,0.03881076025283861,0.5712390198491504,0.025984408008610037,0.3547435897435897,0.06365174809980022,0.7634114934772829,0.03327291637574875,0.48197725427876437,0.0640336025575708
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry_semantic,597,0.3082077051926298,rf,0.6783333333333332,0.03188521078284829,0.6228737877579876,0.04475709840701385,0.4788264200028906,0.09572275061471851,0.4737016419253262,0.07571369689444145,0.47183752501603465,0.07296200495544664
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_geometry_semantic,597,0.3082077051926298,svm,0.49602564102564106,0.036735635333461386,0.5690167976269281,0.024704773710209516,0.3533116883116883,0.06156803037817872,0.7589670490328385,0.03253304481497688,0.4796315259034478,0.060938926229866054
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_full_object_aware,597,0.3082077051926298,logistic,0.6082905982905983,0.04373100121799948,0.6214516103537819,0.047461504982916486,0.41517371078139875,0.08417679283488307,0.6518977732793522,0.0701903616989803,0.5035235213958618,0.07432249730350907
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_full_object_aware,597,0.3082077051926298,rf,0.7002991452991454,0.045200586217161436,0.6394156388390448,0.06901901488127125,0.5014916014916014,0.12199637033229252,0.48087269455690507,0.1276918972455768,0.48753749475498703,0.12220638458764092
y_path_change,"rx_panda_base,rx_ur5_base,rx_nao_chest",compact_full_object_aware,597,0.3082077051926298,svm,0.6116666666666666,0.04702245326555291,0.6251533164888963,0.05325478819776611,0.417096287921613,0.09159576525086834,0.6621356275303644,0.0817392900998022,0.509226830517153,0.0893465017606235
