target,rx_filter,feature_set,num_rows,positive_ratio,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",majority_baseline,398,0.10804020100502512,majority,0.8918589743589743,0.024981584275736133,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry,398,0.10804020100502512,logistic,0.5252564102564102,0.018043932434446845,0.613359477124183,0.04456595941240914,0.14910663641520133,0.03798969665030848,0.725,0.0921954445729289,0.24518128005919348,0.05573848859409096
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry,398,0.10804020100502512,rf,0.861602564102564,0.023885754270437404,0.6666003734827264,0.05660059992762483,0.385,0.069602043392737,0.41500000000000004,0.13379088160259653,0.37577922077922077,0.05486440452724204
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry,398,0.10804020100502512,svm,0.4973076923076924,0.06052775782610504,0.5981129785247432,0.0401671335526315,0.14401960784313725,0.040855894951024326,0.725,0.0921954445729289,0.2374105090311987,0.0601532595039626
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_material,398,0.10804020100502512,logistic,0.5177564102564103,0.026065871394316303,0.6177404295051353,0.05747277754501584,0.15011318516990668,0.04186210845948192,0.7449999999999999,0.11445523142259599,0.24780239025284218,0.06296527780617546
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_material,398,0.10804020100502512,rf,0.8590384615384614,0.027295501070656755,0.6651694677871147,0.05865869502219226,0.3791142191142191,0.08216968041697867,0.41500000000000004,0.13379088160259653,0.3725344050663744,0.06329465806982161
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_material,398,0.10804020100502512,svm,0.5124358974358975,0.04187148868573967,0.6063874883286648,0.04066957255755786,0.14680388529139685,0.03964073519082251,0.725,0.0921954445729289,0.24157875457875458,0.05814223348504258
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_semantic,398,0.10804020100502512,logistic,0.5177564102564103,0.026065871394316303,0.6177404295051353,0.05747277754501584,0.15011318516990668,0.04186210845948192,0.7449999999999999,0.11445523142259599,0.24780239025284218,0.06296527780617546
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_semantic,398,0.10804020100502512,rf,0.8641666666666665,0.022607766610417558,0.6679337068160598,0.07450684944145806,0.36858974358974356,0.031922819482022406,0.41500000000000004,0.17291616465790582,0.3693491291317378,0.11092402765972241
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_geometry_semantic,398,0.10804020100502512,svm,0.5124358974358975,0.04187148868573967,0.6063874883286648,0.04066957255755786,0.14680388529139685,0.03964073519082251,0.725,0.0921954445729289,0.24157875457875458,0.05814223348504258
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_full_object_aware,398,0.10804020100502512,logistic,0.6232692307692307,0.03545665743147565,0.5709089635854342,0.0457553307353855,0.14675789089582195,0.042334528817428635,0.505,0.0714142842854285,0.2254096954096954,0.05828949236294688
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_full_object_aware,398,0.10804020100502512,rf,0.8917948717948716,0.0241204584419609,0.647654995331466,0.0326485899840192,0.5222222222222221,0.0983819716496829,0.33499999999999996,0.07681145747868609,0.39305668016194334,0.051253989410041924
y_adaptation_trigger_1db,"rx_panda_base,rx_ur5_base",compact_full_object_aware,398,0.10804020100502512,svm,0.7108974358974359,0.04572090388366699,0.5835723622782447,0.03192680097696886,0.17099999999999999,0.04769812481755558,0.41999999999999993,0.116619037896906,0.23263305322128852,0.059707510239712186
