frame_id,source_sample_index,rx_id,xml_path,tx_power_dbm,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,frequency_hz,num_paths,tau_min,tau_max,delay_spread,path_gain_sum,path_gain_db,rx_power_dbm,gain_method,gain_error,a_shape,tau_cir_shape,valid_shape,tau_shape,gain_debug,sanity_ok,error_message,prev_num_paths,prev_delay_spread,prev_rx_power_dbm,delta_num_paths,delta_delay_spread,delta_rx_power_db,y_path_change,y_path_drop,y_rx_power_drop_0p5db,y_rx_power_drop_1db,y_rx_power_drop_2db,y_delay_spread_increase,y_adaptation_trigger_1db,y_adaptation_trigger_2db,raw_tx_rx_distance,raw_vertex_count_near_link_0p25m,raw_vertex_count_near_link_0p50m,raw_vertex_count_near_link_1p00m,raw_min_vertex_dist_to_link,raw_mean_vertex_dist_to_link_k20,raw_mean_vertex_dist_to_link_k50,raw_vertex_count_near_rx_0p50m,raw_vertex_count_near_tx_0p50m,raw_link_corridor_occupancy_ratio_0p50m
11,2827,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_011_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,419,2719,3725,0.18920100213281502,0.19355135724830314,0.19658316125284309,2708,0,0.13595
12,3084,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_012_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,-4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,441,2690,3271,0.1310862272609371,0.1767468989232301,0.18822742424519195,2676,0,0.1345
13,3341,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_013_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,422,2628,3200,0.14051877001886806,0.18486961561261217,0.19330229666005103,2620,0,0.1314
14,3598,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_014_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,397,2643,3080,0.13202671693980725,0.18918311905189641,0.1947324956211202,2635,0,0.13215
15,3855,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_015_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,421,2637,3096,0.1392095191478942,0.1831405018226318,0.19172290939449746,2622,0,0.13185
16,4112,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_016_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,415,2682,3093,0.13125994707444297,0.18314022410995556,0.19139316835534803,2664,0,0.1341
17,4369,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_017_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,463,2682,3087,0.13997979784814682,0.1891442733858975,0.19454873402071007,2670,0,0.1341
18,4626,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_018_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,429,2694,3119,0.14090034192196624,0.19010790031219033,0.19564800848000655,2674,0,0.1347
19,4883,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_019_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,427,2752,3173,0.13255132313524756,0.18647928500139013,0.19340032680846947,2735,0,0.1376
20,5140,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_020_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,460,2701,3083,0.13179820116264332,0.18400124517923133,0.19227680363204133,2680,0,0.13505
21,5397,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_021_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,-4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,447,2691,3319,0.13144395597453848,0.1783495698902498,0.1897486670497382,2672,0,0.13455
22,5654,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_022_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,439,2693,3471,0.19094066782650135,0.19395777136714432,0.19644916975411028,2675,0,0.13465
23,5911,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_023_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,422,2695,3429,0.13125994707444297,0.1859237845470971,0.19226350059347527,2681,0,0.13475
24,6168,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_024_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.6214210297202953e-08,-74.41120980774089,-44.41120980774089,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,-8.521095935520862e-07,0,0,0,0,0,0,0,0,4.721272815671638,448,2691,3702,0.13931286240559082,0.19007966228744463,0.19437113441057008,2672,0,0.13455
25,6425,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_025_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120980774089,0,0.0,4.260548109868978e-07,0,0,0,0,0,0,0,0,4.721272815671638,423,2752,4224,0.13105815739639995,0.1895070251941527,0.19469594821168726,2738,0,0.1376
26,6682,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_026_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,439,2660,4586,0.13144395597453848,0.17597498334719552,0.18921273704668756,2644,0,0.133
27,6939,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_027_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.6214210297202953e-08,-74.41120980774089,-44.41120980774089,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,-4.260548109868978e-07,0,0,0,0,0,0,0,0,4.721272815671638,432,2838,4789,0.14101903969764612,0.1898604833568009,0.19451775415351147,2814,0,0.1419
28,7196,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_028_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120980774089,0,0.0,4.260548109868978e-07,0,0,0,0,0,0,0,0,4.721272815671638,422,2689,4671,0.1310862272609371,0.18812876002613582,0.19320936144360196,2683,0,0.13445
29,7453,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_029_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,414,2704,4780,0.13255132313524756,0.19056041972630888,0.19593089577251188,2683,0,0.1352
30,7710,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_030_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,412,2679,4792,0.18731331510536053,0.19251865378526614,0.19643970276177036,2659,0,0.13395
31,7967,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_031_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,-4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,412,2646,4690,0.13202671693980725,0.1777281148503305,0.18951749572008414,2629,0,0.1323
32,8224,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_032_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,410,2658,4731,0.1392095191478942,0.1902228418896254,0.1945269303795871,2644,0,0.1329
33,8481,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_033_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,433,2659,4959,0.1392095191478942,0.18635550290013522,0.19202560666502244,2639,0,0.13295
34,8737,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_034_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,456,2763,5343,0.1398595601223883,0.1878450625857013,0.1941519528508509,2757,0,0.13815
35,8994,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_035_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,436,2698,5277,0.13144395597453848,0.18661284339140302,0.19324938889168078,2680,0,0.1349
36,9251,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_036_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,-4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,432,2665,5403,0.13909533446778996,0.18649428056590303,0.1929706385438739,2649,0,0.13325
