frame_id,source_sample_index,rx_id,xml_path,tx_power_dbm,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,frequency_hz,num_paths,tau_min,tau_max,delay_spread,path_gain_sum,path_gain_db,rx_power_dbm,gain_method,gain_error,a_shape,tau_cir_shape,valid_shape,tau_shape,gain_debug,sanity_ok,error_message,prev_num_paths,prev_delay_spread,prev_rx_power_dbm,delta_num_paths,delta_delay_spread,delta_rx_power_db,y_path_change,y_path_drop,y_rx_power_drop_0p5db,y_rx_power_drop_1db,y_rx_power_drop_2db,y_delay_spread_increase,y_adaptation_trigger_1db,y_adaptation_trigger_2db,raw_tx_rx_distance,raw_vertex_count_near_link_0p25m,raw_vertex_count_near_link_0p50m,raw_vertex_count_near_link_1p00m,raw_min_vertex_dist_to_link,raw_mean_vertex_dist_to_link_k20,raw_mean_vertex_dist_to_link_k50,raw_vertex_count_near_rx_0p50m,raw_vertex_count_near_tx_0p50m,raw_link_corridor_occupancy_ratio_0p50m
11,2827,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_011_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,412,2665,3761,0.13105815739639995,0.16813018547634181,0.18492789176939317,2651,0,0.13325
12,3084,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_012_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,411,2655,3213,0.13144395597453848,0.18881932929259743,0.1939851520143507,2634,0,0.13275
13,3341,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_013_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,426,2570,3161,0.13997979784814682,0.18900921408012053,0.19394388507759266,2557,0,0.1285
14,3598,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_014_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.411208955631295,0,0.0,-4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,393,2589,3030,0.13298783176984602,0.1838524153216286,0.1925589566895017,2566,0,0.12945
15,3855,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_015_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,19,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.6233842592992005e-08,-74.40885606665418,-44.40885606665418,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 19, 1]","[1, 1, 19]","[1, 1, 19]","[1, 1, 19]",,True,,18,4.148822796423701e-08,-44.41120938168608,1,0.0,0.002353315031896841,1,0,0,0,0,0,0,0,4.721272815671638,404,2593,3022,0.13118346737502096,0.17721878259458196,0.18914257018687272,2581,0,0.12965
16,4112,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_016_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,19,4.148822796423701e-08,-44.40885606665418,-1,0.0,-0.002353315031896841,1,1,0,0,0,0,0,0,4.721272815671638,402,2621,3015,0.13300034556577098,0.18342816411998505,0.19170911347002628,2602,0,0.13105
17,4369,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_017_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,419,2623,3031,0.13298783176984602,0.1840529308011093,0.19177549886863235,2604,0,0.13115
18,4626,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_018_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,410,2699,3082,0.13105815739639995,0.18973970682123512,0.19494000196468683,2682,0,0.13495
19,4883,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_019_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,444,2712,3120,0.1326189273086722,0.18610368842708044,0.192992357747493,2694,0,0.1356
20,5140,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_020_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421740263031e-08,-74.4112089556313,-44.411208955631295,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,4.2605478256518836e-07,0,0,0,0,0,0,0,0,4.721272815671638,449,2669,3060,0.18844858087858127,0.19256064090827768,0.1958445063083108,2656,0,0.13345
